case_id,structure,gt_vertices,gt_faces,gt_volume_mm3,pred_vertices,pred_faces,pred_volume_mm3,extents_gt_mm,extents_pred_mm,asd_mm,surface_hd95_mm,gt_stl,pred_stl
oaizib_001,femur,37861,75556,200794.38849079935,388051,777094,805090.5531668138,"[89.5, 75.2, 76.2]","[128.9, 153.3, 139.3]",18.37749460171361,58.96513432296576,experiments\experiment_002\results\meshes\oaizib_001\ground_truth\femur.stl,experiments\experiment_002\results\meshes\oaizib_001\predicted\femur.stl
oaizib_001,femoral_cartilage,25537,51378,18382.770798618913,93486,188698,52120.761230088465,"[82.5, 79.9, 48.9]","[124.2, 150.8, 138.9]",13.374736697903487,53.751009210575134,experiments\experiment_002\results\meshes\oaizib_001\ground_truth\femoral_cartilage.stl,experiments\experiment_002\results\meshes\oaizib_001\predicted\femoral_cartilage.stl
oaizib_001,tibia,27787,55390,146024.92354819388,373541,748080,365620.94929940073,"[82.6, 62.2, 69.6]","[128.9, 152.4, 139.3]",21.656399507114042,73.42517270099147,experiments\experiment_002\results\meshes\oaizib_001\ground_truth\tibia.stl,experiments\experiment_002\results\meshes\oaizib_001\predicted\tibia.stl
oaizib_001,medial_tibial_cartilage,4444,9000,2423.2563841919564,76754,157464,27628.41656246379,"[34.4, 49.9, 12.4]","[126.3, 149.6, 138.9]",28.9014260025507,82.08882278271476,experiments\experiment_002\results\meshes\oaizib_001\ground_truth\medial_tibial_cartilage.stl,experiments\experiment_002\results\meshes\oaizib_001\predicted\medial_tibial_cartilage.stl
oaizib_001,lateral_tibial_cartilage,3985,8042,2856.270414971225,27342,55610,9242.410014242805,"[36.5, 39.4, 15.3]","[127.6, 146.6, 138.5]",24.958986179932122,88.34286026219323,experiments\experiment_002\results\meshes\oaizib_001\ground_truth\lateral_tibial_cartilage.stl,experiments\experiment_002\results\meshes\oaizib_001\predicted\lateral_tibial_cartilage.stl
oaizib_006,femur,33841,67558,154475.6161391112,325065,649887,1042959.7222350165,"[75.8, 70.8, 95.9]","[130.6, 154.9, 139.3]",17.39276703548232,54.93873081895833,experiments\experiment_002\results\meshes\oaizib_006\ground_truth\femur.stl,experiments\experiment_002\results\meshes\oaizib_006\predicted\femur.stl
oaizib_006,femoral_cartilage,20114,40312,14050.742623541939,72817,147074,40564.980632211635,"[69.2, 75.6, 44.5]","[124.5, 144.9, 138.9]",13.623431865315586,57.40933882226378,experiments\experiment_002\results\meshes\oaizib_006\ground_truth\femoral_cartilage.stl,experiments\experiment_002\results\meshes\oaizib_006\predicted\femoral_cartilage.stl
oaizib_006,tibia,18070,35972,82397.88150506925,301040,600256,292809.55714004184,"[69.9, 56.8, 49.9]","[130.6, 151.2, 139.3]",26.258302341238537,91.14246395066641,experiments\experiment_002\results\meshes\oaizib_006\ground_truth\tibia.stl,experiments\experiment_002\results\meshes\oaizib_006\predicted\tibia.stl
oaizib_006,medial_tibial_cartilage,2694,5392,1451.5786208010347,47953,98806,18484.82002848561,"[25.9, 46.0, 8.8]","[116.3, 131.3, 138.5]",32.00540179474931,99.65662255876907,experiments\experiment_002\results\meshes\oaizib_006\ground_truth\medial_tibial_cartilage.stl,experiments\experiment_002\results\meshes\oaizib_006\predicted\medial_tibial_cartilage.stl
oaizib_006,lateral_tibial_cartilage,3366,6752,2712.102921185537,19504,39536,7526.572547613874,"[31.3, 40.0, 12.4]","[114.2, 109.7, 138.5]",23.94401511063875,102.94770226828835,experiments\experiment_002\results\meshes\oaizib_006\ground_truth\lateral_tibial_cartilage.stl,experiments\experiment_002\results\meshes\oaizib_006\predicted\lateral_tibial_cartilage.stl
oaizib_010,femur,35797,71458,180095.19744836102,342017,683561,1010732.4779177889,"[84.1, 63.5, 88.6]","[113.0, 141.2, 139.3]",17.635365089955943,56.446061184279735,experiments\experiment_002\results\meshes\oaizib_010\ground_truth\femur.stl,experiments\experiment_002\results\meshes\oaizib_010\predicted\femur.stl
oaizib_010,femoral_cartilage,21453,43114,13288.183062106289,92879,187682,48241.82038380608,"[75.9, 68.6, 44.5]","[111.1, 139.6, 138.9]",14.245456330723243,53.9533430102316,experiments\experiment_002\results\meshes\oaizib_010\ground_truth\femoral_cartilage.stl,experiments\experiment_002\results\meshes\oaizib_010\predicted\femoral_cartilage.stl
oaizib_010,tibia,22839,45498,117301.55685790138,320786,639347,315164.6648569336,"[77.3, 58.8, 58.0]","[112.9, 140.9, 139.3]",23.75397781541569,81.52182095497454,experiments\experiment_002\results\meshes\oaizib_010\ground_truth\tibia.stl,experiments\experiment_002\results\meshes\oaizib_010\predicted\tibia.stl
oaizib_010,medial_tibial_cartilage,4221,8554,2066.01756226359,52364,107702,18706.45252376841,"[30.8, 50.9, 13.9]","[110.8, 106.0, 138.5]",25.23627470866535,88.7865908937802,experiments\experiment_002\results\meshes\oaizib_010\ground_truth\medial_tibial_cartilage.stl,experiments\experiment_002\results\meshes\oaizib_010\predicted\medial_tibial_cartilage.stl
oaizib_010,lateral_tibial_cartilage,4139,8386,2177.453613262074,20931,42724,7456.882061061894,"[35.4, 44.4, 13.9]","[98.9, 86.1, 137.1]",17.831951067716297,78.71602351064863,experiments\experiment_002\results\meshes\oaizib_010\ground_truth\lateral_tibial_cartilage.stl,experiments\experiment_002\results\meshes\oaizib_010\predicted\lateral_tibial_cartilage.stl
